timestamp,voltage,current,power
154000.0,254.91,0.119,30.33429
155000.0,253.94,0.158,40.12252
156000.0,255.02,0.118,30.09236
157000.0,253.49,0.164,41.57236
158000.0,255.07,0.141,35.96487
159000.0,253.46,0.157,39.79322
160000.0,256.42,0.12,30.7704
161000.0,253.53,0.154,39.04362
162000.0,257.0,0.147,37.779
163000.0,253.62,0.165,41.8473
164000.0,257.08,0.142,36.50536
165000.0,253.65,0.165,41.85225
166000.0,257.43,0.15,38.6145
167000.0,253.82,0.167,42.38794
168000.0,258.02,0.156,40.25112
169000.0,253.78,0.165,41.8737
170000.0,257.54,0.153,39.40362
171000.0,253.81,0.16,40.6096
172000.0,257.17,0.153,39.34701
173000.0,253.85,0.156,39.6006
174000.0,257.16,0.145,37.2882
175000.0,254.19,0.159,40.41621
176000.0,257.2,0.145,37.294
177000.0,254.7,0.161,41.0067
178000.0,257.18,0.151,38.83418
179000.0,254.51,0.159,40.46709
180000.0,256.9,0.149,38.2781
181000.0,254.03,0.163,41.40689
182000.0,256.94,0.147,37.77018
183000.0,253.92,0.153,38.84976
184000.0,256.92,0.143,36.73956
185000.0,253.99,0.158,40.13042
186000.0,256.87,0.149,38.27363
187000.0,253.97,0.156,39.61932
188000.0,257.27,0.147,37.81869
189000.0,253.94,0.159,40.37646
190000.0,257.76,0.146,37.63296
191000.0,254.07,0.157,39.88899
192000.0,257.21,0.146,37.55266
193000.0,254.09,0.151,38.36759
194000.0,256.99,0.146,37.52054
195000.0,254.34,0.128,32.55552
196000.0,256.96,0.143,36.74528
197000.0,254.88,0.158,40.27104
198000.0,256.78,0.121,31.07038
199000.0,254.74,0.161,41.01314
200000.0,256.99,0.134,34.43666
201000.0,254.23,0.154,39.15142
202000.0,257.06,0.153,39.33018
203000.0,254.34,0.155,39.4227
204000.0,257.08,0.153,39.33324
205000.0,254.27,0.137,34.83499
206000.0,257.1,0.154,39.5934
207000.0,254.24,0.145,36.8648
208000.0,256.87,0.148,38.01676
209000.0,254.23,0.125,31.77875
210000.0,256.65,0.15,38.4975
211000.0,254.16,0.145,36.8532
212000.0,254.22,0.157,39.91254
213000.0,254.26,0.157,39.91882
214000.0,257.42,0.149,38.35558
215000.0,254.9,0.158,40.2742
216000.0,256.91,0.144,36.99504
217000.0,254.83,0.111,28.28613
218000.0,254.21,0.101,25.67521
219000.0,254.24,0.128,32.54272
220000.0,256.99,0.104,26.72696
221000.0,254.29,0.132,33.56628
222000.0,254.31,0.132,33.56892
223000.0,256.96,0.129,33.14784
224000.0,254.29,0.14,35.6006
225000.0,257.27,0.106,27.27062
226000.0,254.32,0.134,34.07888
227000.0,257.34,0.141,36.28494
228000.0,254.54,0.13,33.0902
229000.0,257.89,0.143,36.87827
230000.0,255.09,0.135,34.43715
231000.0,254.87,0.14,35.6818
232000.0,257.12,0.122,31.36864
233000.0,254.17,0.134,34.05878
234000.0,257.16,0.097,24.94452
235000.0,254.29,0.138,35.09202
236000.0,257.23,0.105,27.00915
237000.0,254.28,0.131,33.31068
238000.0,257.18,0.095,24.4321
239000.0,254.38,0.147,37.39386
240000.0,257.14,0.122,31.37108
241000.0,254.29,0.137,34.83773
242000.0,257.39,0.134,34.49026
243000.0,254.37,0.108,27.47196
244000.0,257.51,0.144,37.08144
245000.0,254.43,0.144,36.63792
246000.0,257.1,0.105,26.9955
247000.0,254.65,0.14,35.651
248000.0,257.2,0.133,34.2076
249000.0,255.95,0.108,27.6426
250000.0,257.05,0.137,35.21585
251000.0,255.98,0.135,34.5573
252000.0,256.85,0.107,27.48295
